Termek_ID,Termeknev,Kategoria,Ar_HUF,Keszlet_db,Ertekeles
PROD001,Vezeték nélküli fülhallgató X Pro,Elektronika,24990,45,4.7
PROD002,Ergonomikus irodai szék,Bútor,45900,12,4.5
PROD003,Mechanikus gamer billentyűzet,Periféria,18500,28,4.8
PROD004,Okosóra S5,Okoseszközök,39990,60,4.2
PROD005,Hordozható powerbank 20000mAh,Kiegészítők,12490,110,4.6
PROD006,"4K Ultra HD Monitor 27""",Monitorok,89900,8,4.4
PROD007,LED asztali lámpa,Világítás,7990,35,4.3
PROD008,Vízálló bluetooth hangszóró,Elektronika,15490,52,4.7
PROD009,Külső SSD meghajtó 1TB,Adattárolás,29990,19,4.9
PROD010,Laptop hűtőpad,Kiegészítők,6500,40,4.1
